category,text,word_count,clean_text,clean_word_count,label_id
sport,"Sella wants Michalak recall

Former France centre Philippe Sella believes coach Bernard Laporte must recall Frederic Michalak to give his side any chance of beating Ireland.

Sella admitted he had been impressed by current fly-half Yann Delaigue in the RBS Six Nations to date. But he told BBC Sport: ""Michalak is the answer both now and for the future. Delaigue deserved his chance but the time has come to bring back Michalak. ""He does have weaknesses but has the all-round game to upset Ireland."" The 22-year-old Michalak has spent much of the tournament on the bench after Delaigue impressed for Castres early in the season. With Michalak overlooked, the French stuttered to narrow wins over Scotland and then England before ironically playing their best rugby in the defeat to Wales. ""The Wales game was amazing to watch but never did I think the French could lose that game at half-time,"" said Sella.

""Their only mistakes were that they didn't score enough points in the first half and were a little bit less focused in the second... but only a little bit."" Sella, however, insisted the pressure had eased on the under-fire Laporte, despite the defeat at the Stade de France. ""This season is very important for shaping a team for the 2007 World Cup,"" said Sella, ""which Laporte is doing very well. The French get better every game. ""It's difficult, though, when you change a team and you change your tactics as everything has to gel. ""But he has the players and the talent to take them all the way to World Cup victory. ""As a result, it is important that people give him time. It may not seem good now that we're not winning the Grand Slam but no one will care in two years time if we're world champions.""

The majority of media criticism centred on the way in which France produced a performance devoid of running rugby in their opening two games. But while Sella admitted he liked the more flowing style employed against Wales, he said ""the win was most important"". ""Winning is all that matters,"" he added. ""Ok, the flair may not have been so good, but the discipline, organisation and defence was there, which are all important ahead of 2007."" France play what Sella believes is their hardest game of the Six Nations against Ireland in Dublin on Saturday 12 March. The French go into the game as clear underdogs. But Sella added: ""People forget that France can still win the Six Nations and they'll be focused on that. ""But Ireland will be going for even more in front of their home crowd. It's going to be tough.""
",444,sella want michalak recall former france centre philippe sella belief coach bernard laporte must recall frederic michalak give side chance beating ireland sella admitted impressed current flyhalf yann delaigue rb six nation date told bbc sport michalak answer future delaigue deserved chance time come bring back michalak weakness allround game upset ireland 22yearold michalak spent much tournament bench delaigue impressed castres early season michalak overlooked french stuttered narrow win scotland england ironically playing best rugby defeat wale wale game amazing watch never think french could lose game halftime said sella mistake didnt score enough point first half little bit less focused second little bit sella however insisted pressure eased underfire laporte despite defeat stade de france season important shaping team 2007 world cup said sella laporte well french get better every game difficult though change team change tactic everything gel player talent take way world cup victory result important people give time may seem good winning grand slam one care two year time world champion majority medium criticism centred way france produced performance devoid running rugby opening two game sella admitted liked flowing style employed wale said win important winning matter added ok flair may good discipline organisation defence important ahead 2007 france play sella belief hardest game six nation ireland dublin saturday 12 march french go game clear underdog sella added people forget france still win six nation theyll focused ireland going even front home crowd going tough,239,3
sport,"Radcliffe yet to answer GB call

Paula Radcliffe has been granted extra time to decide whether to compete in the World Cross-Country Championships.

The 31-year-old is concerned the event, which starts on 19 March in France, could upset her preparations for the London Marathon on 17 April. ""There is no question that Paula would be a huge asset to the GB team,"" said Zara Hyde Peters of UK Athletics. ""But she is working out whether she can accommodate the worlds without too much compromise in her marathon training."" Radcliffe must make a decision by Tuesday - the deadline for team nominations. British team member Hayley Yelling said the team would understand if Radcliffe opted out of the event. ""It would be fantastic to have Paula in the team,"" said the European cross-country champion. ""But you have to remember that athletics is basically an individual sport and anything achieved for the team is a bonus. ""She is not messing us around. We all understand the problem."" Radcliffe was world cross-country champion in 2001 and 2002 but missed last year's event because of injury. In her absence, the GB team won bronze in Brussels.
",192,radcliffe yet answer gb call paula radcliffe granted extra time decide whether compete world crosscountry championship 31yearold concerned event start 19 march france could upset preparation london marathon 17 april question paula would huge asset gb team said zara hyde peter uk athletics working whether accommodate world without much compromise marathon training radcliffe must make decision tuesday deadline team nomination british team member hayley yelling said team would understand radcliffe opted event would fantastic paula team said european crosscountry champion remember athletics basically individual sport anything achieved team bonus messing u around understand problem radcliffe world crosscountry champion 2001 2002 missed last year event injury absence gb team bronze brussels,110,3
business,"Bank voted 8-1 for no rate change

The decision to keep interest rates on hold at 4.75% earlier this month was passed 8-1 by the Bank of England's rate-setting body, minutes have shown.

One member of the Bank's Monetary Policy Committee (MPC) - Paul Tucker - voted to raise rates to 5%. The news surprised some analysts who had expected the latest minutes to show another unanimous decision. Worries over growth rates and consumer spending were behind the decision to freeze rates, the minutes showed. The Bank's latest inflation report, released last week, had noted that the main reason inflation might fall was weaker consumer spending.

However, MPC member Paul Tucker voted for a quarter point rise in interest rates to 5%. He argued that economic growth was picking up, and that the equity, credit and housing markets had been stronger than expected.

The Bank's minutes said that risks to the inflation forecast were ""sufficiently to the downside"" to keep rates on hold at its latest meeting. However, the minutes added: ""Some members noted that an increase might be warranted in due course if the economy evolved in line with the central projection"". Ross Walker, UK economist at Royal Bank of Scotland, said he was surprised that a dissenting vote had been made so soon. He said the minutes appeared to be ""trying to get the market to focus on the possibility of a rise in rates"". ""If the economy pans out as they expect then they are probably going to have to hike rates."" However, he added, any rate increase is not likely to happen until later this year, with MPC members likely to look for a more sustainable pick up in consumer spending before acting.
",287,bank voted 81 rate change decision keep interest rate hold 4 75 earlier month passed 81 bank england ratesetting body minute shown one member bank monetary policy committee mpc paul tucker voted raise rate 5 news surprised analyst expected latest minute show another unanimous decision worry growth rate consumer spending behind decision freeze rate minute showed bank latest inflation report released last week noted main reason inflation might fall weaker consumer spending however mpc member paul tucker voted quarter point rise interest rate 5 argued economic growth picking equity credit housing market stronger expected bank minute said risk inflation forecast sufficiently downside keep rate hold latest meeting however minute added member noted increase might warranted due course economy evolved line central projection ross walker uk economist royal bank scotland said surprised dissenting vote made soon said minute appeared trying get market focus possibility rise rate economy pan expect probably going hike rate however added rate increase likely happen later year mpc member likely look sustainable pick consumer spending acting,169,0
politics,"Labour seeks to quell feud talk

Labour's leadership put on a show of unity at a campaign poster launch after MPs criticised Tony Blair and Gordon Brown over reports of their rift.

Mr Brown was joined at the launch by John Prescott and Alan Milburn, the man controversially put in charge of election planning by Mr Blair. A private meeting on Monday saw normally loyal MPs warn that feuding could jeopardise their election hopes. It follows a new book charting disputes between prime minister and chancellor.

The event was the first time Mr Milburn has shared a platform with the chancellor since taking Mr Brown's traditional poll planning role. But the pair chatted amicably and Mr Brown insisted he was happy with his current campaign task. Asked about how he would deal with claims that he did not trust the prime minister, Mr Brown replied: ""You can see that our record on the economy is about the British people trusting us to run the economy.""

He refused to comment on the new book, saying nobody should be distracted from the business of government. Mr Brown later told reporters: ""Of course I trust the prime minister."" Downing Street cited that comment when reporters' suggested Mr Brown had pointedly failed to deny claims he had once told Mr Blair: ""There is nothing you could ever say to me now that I could ever believe"". Labour's new posters say Britain is enjoying the lowest inflation since the 1960s, lowest unemployment for 29 years and the lowest mortgage rates for 40 years. They urge voters not to let the Tories take things backwards. Mr Milburn promised a poll campaign ""which is upbeat, confident and above all else optimistic about the future of our country"".

Conservative co-chairman Liam Fox derided the photo call, saying: ""The show of unity was the worst acting I have seen since Prisoner Cell Block H."" Labour had broken promises by raising taxes 66 times and brought the slowest economic growth in the English-speaking world, he said.

The prime minister and chancellor faced backbench discontent at Monday's meeting of the Parliamentary Labour Party over claims made in journalist Robert Peston's new book. Mr Blair told MPs and peers: ""I know from everyone here, in Cabinet and government, nothing is going to get in the way of a unified Labour Party with a unified position and winning the third term people desperately need."" Labour's Paul Flynn said the pair had had a ""scorching"" from MPs.

On Tuesday, deputy prime minister Mr Prescott told BBC News: ""They told us very clearly, it was the troops telling the leaders: get in line."" The new book claims Mr Prescott hosted a dinner in November 2003 where the prime minister told Mr Brown he would stand down before the next election because he had lost trust over the Iraq war. Mr Blair then changed his mind in June 2004, after Cabinet allies intervened and amid suspicion the chancellor was manoeuvring against him, writes Mr Peston. Mr Prescott said there was a dinner but the discussions were confidential. ""Of course as a waiter for 10 years I have a professional ability here,"" he joked.
",527,labour seek quell feud talk labour leadership put show unity campaign poster launch mp criticised tony blair gordon brown report rift mr brown joined launch john prescott alan milburn man controversially put charge election planning mr blair private meeting monday saw normally loyal mp warn feuding could jeopardise election hope follows new book charting dispute prime minister chancellor event first time mr milburn shared platform chancellor since taking mr brown traditional poll planning role pair chatted amicably mr brown insisted happy current campaign task asked would deal claim trust prime minister mr brown replied see record economy british people trusting u run economy refused comment new book saying nobody distracted business government mr brown later told reporter course trust prime minister downing street cited comment reporter suggested mr brown pointedly failed deny claim told mr blair nothing could ever say could ever believe labour new poster say britain enjoying lowest inflation since 1960s lowest unemployment 29 year lowest mortgage rate 40 year urge voter let tory take thing backwards mr milburn promised poll campaign upbeat confident else optimistic future country conservative cochairman liam fox derided photo call saying show unity worst acting seen since prisoner cell block h labour broken promise raising tax 66 time brought slowest economic growth englishspeaking world said prime minister chancellor faced backbench discontent monday meeting parliamentary labour party claim made journalist robert pestons new book mr blair told mp peer know everyone cabinet government nothing going get way unified labour party unified position winning third term people desperately need labour paul flynn said pair scorching mp tuesday deputy prime minister mr prescott told bbc news told u clearly troop telling leader get line new book claim mr prescott hosted dinner november 2003 prime minister told mr brown would stand next election lost trust iraq war mr blair changed mind june 2004 cabinet ally intervened amid suspicion chancellor manoeuvring writes mr peston mr prescott said dinner discussion confidential course waiter 10 year professional ability joked,329,2
sport,"France v Wales (Sat)

Stade de France, Paris

Saturday, 26 February

1600 GMT

BBC1, Radio 4 LW and this website

France may have beaten Scotland and England but they were tedious and uninspired throughout both matches. Wales, on the other hand, have played some fine rugby and have made their best start since they last won the title in 1994. They also have a good record at the Stade de France, having won their first two games there, in 1999 and 2001. Wales have made two changes from the team that thrashed Italy 38-8 in Rome.

Kevin Morgan takes over from his injured Newport-Gwent Dragons colleague Hal Luscombe on the right wing. In the pack Neath-Swansea Ospreys forward Ryan Jones bas been brought on the blind-side flank to beef up the Wales back row in place of Jonathan Thomas. Wales coach Mike Ruddock is determined that his team will not go into their shells after their promising start to the championship. ""Graham Henry (former Wales coach) said a couple of years ago that we should 'be bold' when going to France, and he was proved right,"" said Ruddock. ""That is a great way to approach the game, and something we will further endorse with the players this week.""

Despite their stuttering displays in their first two games defending champions France are also unbeaten. Under-pressure coach Bernard Laporte has made four changes, with Yannick Nyanga, the debutant Julien Laharrague, Aurelien Rougerie and Yannick Jauzion coming into the side. France have been criticised for the absence of traditional ""French flair"" as they have ground their way to victory so far this year but captain Fabien Pelous sees hope on the horizon. ""I get the impression we are getting better,"" he said. ""Against Wales, which is different from the teams we have beaten, I hope we can show our proper game.""

J Laharrague; A Rougerie, Y Jauzion, D Traille, C Dominici; Y Delaigue, D Yachvili; S Marconnet, S Bruno, N Mas; F Pelous (capt), J Thion; S Betsen, Y Nyanga, J Bonnaire (Bourgoin).

W Servat, O Milloud, G Lamboley, I Harinordoquy, P Mignoni, F Michalak, J-P Grandclaude.

G Thomas (capt); K Morgan, T Shanklin, G Henson, S Williams; S Jones, D Peel; G Jenkins, M Davies, A Jones; B Cockbain, R Sidoli; R Jones, M Williams, M Owen.

R McBryde, J Yapp, J Thomas, R Sowden-Taylor, G Cooper, C Sweeney, R Williams.
",399,france v wale sat stade de france paris saturday 26 february 1600 gmt bbc1 radio 4 lw website france may beaten scotland england tedious uninspired throughout match wale hand played fine rugby made best start since last title 1994 also good record stade de france first two game 1999 2001 wale made two change team thrashed italy 388 rome kevin morgan take injured newportgwent dragon colleague hal luscombe right wing pack neathswansea osprey forward ryan jones ba brought blindside flank beef wale back row place jonathan thomas wale coach mike ruddock determined team go shell promising start championship graham henry former wale coach said couple year ago bold going france proved right said ruddock great way approach game something endorse player week despite stuttering display first two game defending champion france also unbeaten underpressure coach bernard laporte made four change yannick nyanga debutant julien laharrague aurelien rougerie yannick jauzion coming side france criticised absence traditional french flair ground way victory far year captain fabien pelous see hope horizon get impression getting better said wale different team beaten hope show proper game j laharrague rougerie jauzion traille c dominici delaigue yachvili marconnet bruno n ma f pelous capt j thion betsen nyanga j bonnaire bourgoin w servat milloud g lamboley harinordoquy p mignoni f michalak jp grandclaude g thomas capt k morgan shanklin g henson williams jones peel g jenkins davy jones b cockbain r sidoli r jones williams owen r mcbryde j yapp j thomas r sowdentaylor g cooper c sweeney r williams,253,3
sport,"Barbarians 19-47 New Zealand

New Zealand proved too strong for an Australian-dominated Barbarians to round off their unbeaten northern hemisphere tour with an easy win.

Rico Gear ran in two of the All Blacks' seven tries in what was a predominantly second-string line-up. The Baa-Baas did threaten, scoring tries through Albert van den Bergh, Xavier Rush and Andrea Lo Cicero, but never looked like winning. All Black Aaron Mauger was in good form with the boot, adding 10 points. The All Blacks featured only two of the side which started last weekend's emphatic Test victory over France in Paris, while the Baa-Baas had nine Wallabies in their starting line-up. And New Zealand coach Graham Henry said: ""It was a quality performance against a very experienced side and a number of young guys came through very well. ""They learnt from the older players and this was a way of thanking the guys who had been mentoring them on the tour."" But the running rugby the crowd had been hoping for rarely materialised. Marty Holah got the All Blacks onslaught under way with his fifth-minute try before Rush hit back moments later. But New Zealand went ahead once more as Gear made use of the space vacated by a temporarily injured Chris Latham to slide in. Ma'a Nonu then found his way through the Barbarians defence to give his side a 19-7 half-time lead. The hosts failed to ignite in the second half and, the moment Gear scored his second just after the interval, there was only ever going to be one winner. Lo Cicero, the sole European for the Barbarians, bundled over for a try to briefly curtail the deficit. But the match was blighted by controversy moments later when Justin Marshall, was felled with a high tackle by Jimmy Cowan. Referee Andy Turner waved play on and Casey Laulala coasted in for his side's fifth try. Jermoe Keino and Piri Weepu both added tries to the All Blacks' tally before the final whistle, while van den Bergh gained some consolation for the Baa-Baas. After the match, Barbarians coach Bob Dwyer warned that South African flanker Schalk Burger needed a proper off-season break to maintain his standards. Burger, 21, was recently crowned player of the year by both his peers and the International Rugby Board, but has struggled for form in recent weeks. ""It's his first year at that level and he was phenomenal up until the end of the southern hemisphere season. ""I don't think he's played anywhere near that level on tour,"" he said.
",425,barbarian 1947 new zealand new zealand proved strong australiandominated barbarian round unbeaten northern hemisphere tour easy win rico gear ran two black seven try predominantly secondstring lineup baabaas threaten scoring try albert van den bergh xavier rush andrea lo cicero never looked like winning black aaron mauger good form boot adding 10 point black featured two side started last weekend emphatic test victory france paris baabaas nine wallaby starting lineup new zealand coach graham henry said quality performance experienced side number young guy came well learnt older player way thanking guy mentoring tour running rugby crowd hoping rarely materialised marty holah got black onslaught way fifthminute try rush hit back moment later new zealand went ahead gear made use space vacated temporarily injured chris latham slide maa nonu found way barbarian defence give side 197 halftime lead host failed ignite second half moment gear scored second interval ever going one winner lo cicero sole european barbarian bundled try briefly curtail deficit match blighted controversy moment later justin marshall felled high tackle jimmy cowan referee andy turner waved play casey laulala coasted side fifth try jermoe keino piri weepu added try black tally final whistle van den bergh gained consolation baabaas match barbarian coach bob dwyer warned south african flanker schalk burger needed proper offseason break maintain standard burger 21 recently crowned player year peer international rugby board struggled form recent week first year level phenomenal end southern hemisphere season dont think he played anywhere near level tour said,248,3
politics,"Labour trio 'had vote-rig factory'

Three Labour councillors in Birmingham were caught operating a ""vote-rigging factory"", an Election Court has heard.

Police found the trio handling unsealed postal ballots in a deserted warehouse in the city during a late-night raid in June 2004, the hearing was told. The votes were later counted towards that month's English local elections. The men, elected to the Aston ward, deny collecting votes fraudulently. The judge presiding has indicated the whole postal voting system is under scrutiny. Deputy High Court Judge Richard Mawrey, QC told the hearing at the Birmingham and Midlands Institute the case could have potentially serious consequences for any forthcoming General Election.

The special Election Court, the first in living memory to hear allegations of vote-rigging, opened in Birmingham last month. The case against Muhammad Afzal, Mohammed Islam and Mohammed Kazi is being brought by local Liberal Democrat supporters. They claim the trio benefited from the widespread misuse of postal votes during the 10 June election. Ravi Sukul, counsel for the petitioners, accused the three men of being ""deeply involved"" in illegal practices. Witnesses saw them carrying several bags from their campaign office, which the men drove to a warehouse on an industrial estate off Birch Road East, the court was told.

The police were alerted and called to the premises. Mr Sukul said: ""When (the officers) arrived there, in the middle of the night, they saw a large room with a 10ft long table and six Asian men present. ""Hundreds of documents and unsealed envelopes were scattered all over the table."" The police officers left the warehouse, but were later ordered back to seize the documents. ""When the officers left, all the envelopes and papers were scattered,"" Mr Sukul said.

""(When they went) back to make the seizure, every one of these 275 yellow ballot papers were placed neatly in envelope A and sealed. The house was in order."" Interrupting Mr Sukul in his opening, Mr Mawrey said: ""What you are saying is, these men were operating a vote-forging factory on an industrial estate."" The court heard how documents were taken by police to the elections office next morning, where they were mixed in with other ballots. The case against the men follows a hearing into postal fraud allegations made against three other Birmingham councillors in the Bordesley Green ward, claims which are denied. Mr Mawrey is due to deliver a judgment in their case once the Aston petition has been heard. Mr Afzal, Mr Islam and Mr Kazi deny conspiring to commit election fraud to deceive the returning officer. The case continues.
",432,labour trio voterig factory three labour councillor birmingham caught operating voterigging factory election court heard police found trio handling unsealed postal ballot deserted warehouse city latenight raid june 2004 hearing told vote later counted towards month english local election men elected aston ward deny collecting vote fraudulently judge presiding indicated whole postal voting system scrutiny deputy high court judge richard mawrey qc told hearing birmingham midland institute case could potentially serious consequence forthcoming general election special election court first living memory hear allegation voterigging opened birmingham last month case muhammad afzal mohammed islam mohammed kazi brought local liberal democrat supporter claim trio benefited widespread misuse postal vote 10 june election ravi sukul counsel petitioner accused three men deeply involved illegal practice witness saw carrying several bag campaign office men drove warehouse industrial estate birch road east court told police alerted called premise mr sukul said officer arrived middle night saw large room 10ft long table six asian men present hundred document unsealed envelope scattered table police officer left warehouse later ordered back seize document officer left envelope paper scattered mr sukul said went back make seizure every one 275 yellow ballot paper placed neatly envelope sealed house order interrupting mr sukul opening mr mawrey said saying men operating voteforging factory industrial estate court heard document taken police election office next morning mixed ballot case men follows hearing postal fraud allegation made three birmingham councillor bordesley green ward claim denied mr mawrey due deliver judgment case aston petition heard mr afzal mr islam mr kazi deny conspiring commit election fraud deceive returning officer case continues,264,2
business,"European losses hit GM's profits

General Motors (GM) saw its net profits fall 37% in the last quarter of 2004, as it continued to be hit by losses at its European operations.

The US giant earned $630m (£481.5m) in the October-to-December period, down from $1bn in the fourth quarter of 2003. GM's revenues rose 4.7% to $51.2bn from $48.8bn a year earlier. The fourth-quarter losses at General Motors Europe totalled $345m, up from $66m during the same period in 2003. GM's main European brands are Opel and Vauxhall.

Excluding special items, GM's global income from continuing operations totalled $569m during the quarter, down from $838m a year earlier. The results were in line with Wall Street expectations and shares in GM rose by about 1% in pre-market trade. For the whole of 2004, GM earned $3.7bn, down from $3.8bn in 2003, while its annual revenue rose 4.5% to $193bn. GM said its profits were also hit by higher healthcare costs in the US. ""GM reported solid overall results in 2004, despite challenging competitive conditions in many markets around the globe,"" GM chairman and chief executive Rick Wagoner said in a statement. The company recently announced that it expected profits in 2005 to be lower than in 2004.
",207,european loss hit gm profit general motor gm saw net profit fall 37 last quarter 2004 continued hit loss european operation u giant earned 630m 481 5m octobertodecember period 1bn fourth quarter 2003 gm revenue rose 4 7 51 2bn 48 8bn year earlier fourthquarter loss general motor europe totalled 345m 66m period 2003 gm main european brand opel vauxhall excluding special item gm global income continuing operation totalled 569m quarter 838m year earlier result line wall street expectation share gm rose 1 premarket trade whole 2004 gm earned 3 7bn 3 8bn 2003 annual revenue rose 4 5 193bn gm said profit also hit higher healthcare cost u gm reported solid overall result 2004 despite challenging competitive condition many market around globe gm chairman chief executive rick wagoner said statement company recently announced expected profit 2005 lower 2004,139,0
sport,"Wales critical of clumsy Grewcock

Wales coach Mike Ruddock says England lock Danny Grewcock needs to review his actions after he kicked Dwayne Peel.

Trouble flared at a ruck in the first half of Wales' 11-9 win in Cardiff as Grewcock came recklessly over the top with his boot, leaving Peel bloodied. Grewcock was sin-binned with Wales captain Gareth Thomas for retaliation. ""It's up to the citing commissioner,"" said Ruddock. ""I'm not saying it's deliberate, but Grewcock did a similar thing for Bath against Leinster."" Last June Grewcock was banned from rugby for two months for reckless use of a boot in a match against New Zealand.

Six years earlier, also in New Zealand, Grewcock became only the second England player to be sent off in Tests. The player himself and his captain Jason Robinson have both said that the clash with Peel was accidental. ""If the ball is at the back of the ruck and I feel I can step over and disrupt it then I will do that,"" said Grewcock. But Ruddock feels that the England man should be more careful. ""The boy himself should look at his actions, it was a clumsy piece of footwork,"" he said. ""He's a great player and I don't want to knock him, we won't be calling for the match commissioner to review the incident. ""I'm not going to go too far with the lad. It could just be a clumsy action and Dwayne had just a minor cut. ""The referee's interpretation was that Grewcock was attempting to step over the ruck."" Ruddock also warned his RBS 6 Nations Championship rivals that his team can make massive improvements. ""We created more opportunities and also squandered them by taking more contact and playing more individually,"" said the coach. ""We've looked through things on the video debrief and there were definitely a lot of chances that we wasted."" In the forthcoming games, Ruddock may use penalty hero Gavin Henson as his first-choice kicker in place of Stephen Jones. ""Our first aim was to get Gavin settled into the team, but it's something we'll talk about in selection this week,"" said Ruddock.
",357,wale critical clumsy grewcock wale coach mike ruddock say england lock danny grewcock need review action kicked dwayne peel trouble flared ruck first half wale 119 win cardiff grewcock came recklessly top boot leaving peel bloodied grewcock sinbinned wale captain gareth thomas retaliation citing commissioner said ruddock im saying deliberate grewcock similar thing bath leinster last june grewcock banned rugby two month reckless use boot match new zealand six year earlier also new zealand grewcock became second england player sent test player captain jason robinson said clash peel accidental ball back ruck feel step disrupt said grewcock ruddock feel england man careful boy look action clumsy piece footwork said he great player dont want knock wont calling match commissioner review incident im going go far lad could clumsy action dwayne minor cut referee interpretation grewcock attempting step ruck ruddock also warned rb 6 nation championship rival team make massive improvement created opportunity also squandered taking contact playing individually said coach weve looked thing video debrief definitely lot chance wasted forthcoming game ruddock may use penalty hero gavin henson firstchoice kicker place stephen jones first aim get gavin settled team something well talk selection week said ruddock,196,3
business,"Chinese dam firm 'defies Beijing'

The China Three Gorges Project Corp is refusing to obey a government order to stop construction of one of its giant dams, the Chinese state press has said.

The builder of the Three Gorges Dam is continuing work on the sister Xiluodu dam, said the Beijing News. The Xiluodu dam is one of 30 such large-scale construction projects called to a halt because of a lack of proper environmental checks. The Beijing News said the company may instead choose to pay a fine. The firm has also ignored orders to stop construction at two of its other projects - the Three Gorges Underground Power Plant and the Three Gorges Project Electrical Power Supply Plant.

So far, only 22 of the 30 construction projects targeted by China's State Environmental Protection Agency (Sepa) for having not carried out mandatory environmental impact assessments have complied with its shutdown order. The China Three Gorges Project Corp could now face a fine up to 200,000 yuan ($24,000; £12,700). Last week, it denied that its projects violated regulations. ""The Three Gorges Corporation has all along abided by the law and have built our projects in accordance with the law,"" it said.

The Sepa order comes as the Chinese government appears to be trying to cool the country's booming economy. Previously it has encouraged construction of new electricity generating capacity to solve chronic energy shortages, which forced many factories into part-time working last year. In 2004, China increased its generating capacity by 12.6% to 440,700 megawatts (MW). The Xiluodu Dam is designed to produce 12,600 MW of electricity, and is being built on the Jinshajiang - or ""river of golden sand"" as the upper reaches of the Yangtze are known. It is a sister project to the main Three Gorges Dam downstream where more than half a million people have had to be relocated, drawing criticism from environmental groups and overseas human rights activists.
",322,chinese dam firm defies beijing china three gorge project corp refusing obey government order stop construction one giant dam chinese state press said builder three gorge dam continuing work sister xiluodu dam said beijing news xiluodu dam one 30 largescale construction project called halt lack proper environmental check beijing news said company may instead choose pay fine firm also ignored order stop construction two project three gorge underground power plant three gorge project electrical power supply plant far 22 30 construction project targeted china state environmental protection agency sepa carried mandatory environmental impact assessment complied shutdown order china three gorge project corp could face fine 200 000 yuan 24 000 12 700 last week denied project violated regulation three gorge corporation along abided law built project accordance law said sepa order come chinese government appears trying cool country booming economy previously encouraged construction new electricity generating capacity solve chronic energy shortage forced many factory parttime working last year 2004 china increased generating capacity 12 6 440 700 megawatt mw xiluodu dam designed produce 12 600 mw electricity built jinshajiang river golden sand upper reach yangtze known sister project main three gorge dam downstream half million people relocated drawing criticism environmental group overseas human right activist,205,0
